Tue Aug 10 16:31:22 2021    stocks_complexity.py.stats

         500363111 function calls (493977509 primitive calls) in 5726.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   175185    0.845    0.000    2.718    0.000 take.py:111(_take_nd_ndarray)
     7840    0.255    0.000    2.712    0.000 ssl_.py:224(create_urllib3_context)
   115221    0.343    0.000    2.695    0.000 missing.py:221(_isna_array)
    51826    0.073    0.000    2.676    0.000 frame.py:1205(items)
     7840    0.027    0.000    2.655    0.000 client.py:1254(request)
     7840    0.133    0.000    2.630    0.000 adapters.py:255(build_response)
     7840    0.292    0.000    2.628    0.000 client.py:1259(_send_request)
   224300    1.810    0.000    2.611    0.000 {pandas._libs.lib.infer_dtype}
   103648    0.177    0.000    2.602    0.000 blocks.py:407(_split_op_result)
  1029275    1.401    0.000    2.597    0.000 common.py:190(is_sparse)
     7840    0.059    0.000    2.591    0.000 utils.py:709(should_bypass_proxies)
   214958    0.221    0.000    2.573    0.000 common.py:532(is_string_dtype)
   410404    0.722    0.000    2.558    0.000 cast.py:1871(construct_1d_arraylike_from_scalar)
    65873    0.183    0.000    2.505    0.000 indexing.py:2357(check_bool_indexer)
     7840    0.027    0.000    2.490    0.000 poolmanager.py:279(connection_from_url)
    51824    0.166    0.000    2.461    0.000 algorithms.py:526(factorize_array)
    13031    0.082    0.000    2.457    0.000 datetimes.py:287(_convert_listlike_datetimes)
    45887    0.161    0.000    2.450    0.000 generic.py:4214(_update_inplace)
     6478    0.040    0.000    2.437    0.000 frame.py:4911(rename)
   581597    2.433    0.000    2.433    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    43561    0.081    0.000    2.425    0.000 nanops.py:395(new_func)
    12956    0.059    0.000    2.424    0.000 frame.py:5805(isna)
    23472    0.094    0.000    2.424    0.000 indexing.py:1504(_getitem_tuple)
   969359    0.847    0.000    2.403    0.000 base.py:6382(maybe_extract_name)
        3    0.000    0.000    2.402    0.801 generic.py:2126(to_excel)
        3    0.000    0.000    2.402    0.801 excel.py:781(write)
     6478    0.085    0.000    2.397    0.000 generic.py:987(rename)
    13705    0.039    0.000    2.389    0.000 frame.py:10586(values)
   577744    0.458    0.000    2.381    0.000 common.py:347(is_datetime64tz_dtype)
   637878    1.812    0.000    2.359    0.000 generic.py:230(__init__)
   214958    0.189    0.000    2.352    0.000 common.py:1519(_is_dtype)
1749273/1748647    1.278    0.000    2.345    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
  1614064    0.625    0.000    2.328    0.000 StringMatcher.py:62(ratio)
    40203    0.444    0.000    2.321    0.000 managers.py:1974(_merge_blocks)
   636627    0.487    0.000    2.301    0.000 common.py:496(is_categorical_dtype)
    34082    0.059    0.000    2.301    0.000 managers.py:413(astype)
    14226    0.070    0.000    2.287    0.000 indexing.py:1595(_setitem_with_indexer)
    19434    0.043    0.000    2.281    0.000 managers.py:405(fillna)
   571263    0.811    0.000    2.280    0.000 common.py:1264(is_bool_dtype)
     7840    0.050    0.000    2.277    0.000 utils.py:87(proxy_bypass)
     7840    0.057    0.000    2.252    0.000 client.py:930(close)
    26857    0.188    0.000    2.250    0.000 nanops.py:83(_f)
   497776    0.989    0.000    2.248    0.000 _ufunc_config.py:32(seterr)
  1534914    1.010    0.000    2.244    0.000 os.py:674(__getitem__)
    18360    0.067    0.000    2.244    0.000 generic.py:5621(dtypes)
    98056    0.255    0.000    2.243    0.000 base.py:5435(_should_compare)
     6538    0.023    0.000    2.243    0.000 frame.py:4581(_reindex_axes)
  4612560    1.179    0.000    2.241    0.000 common.py:1737(<genexpr>)
    44198    2.240    0.000    2.240    0.000 {built-in method nt.stat}
   162877    0.173    0.000    2.215    0.000 base.py:2382(inferred_type)
     9578    0.141    0.000    2.214    0.000 base.py:5992(drop)
     6480    0.032    0.000    2.204    0.000 frame.py:4618(_reindex_columns)
    12956    0.024    0.000    2.203    0.000 base.py:130(isna)
  8838116    1.202    0.000    2.171    0.000 object_array.py:132(<lambda>)
     6478    0.012    0.000    2.153    0.000 ops.py:877(group_info)
  3350762    1.248    0.000    2.142    0.000 {built-in method builtins.sorted}
     6478    0.028    0.000    2.139    0.000 ops.py:896(_get_compressed_codes)
     7842    0.024    0.000    2.116    0.000 socket.py:497(close)
    21514    1.027    0.000    2.099    0.000 managers.py:1015(iset)
     7840    1.126    0.000    2.092    0.000 ssl.py:1298(_real_close)
    13029    0.032    0.000    2.080    0.000 datetimes.py:271(tz_convert)
     6478    0.025    0.000    2.048    0.000 grouper.py:818(is_in_axis)
  2000736    0.877    0.000    2.048    0.000 series.py:674(_values)
   673595    0.651    0.000    2.047    0.000 common.py:160(is_object_dtype)
   214955    0.149    0.000    2.042    0.000 common.py:561(condition)
     7313    0.033    0.000    2.039    0.000 api.py:165(union_indexes)
   669408    0.788    0.000    2.038    0.000 common.py:1230(is_float_dtype)
     4563    0.018    0.000    2.038    0.000 format.py:1517(_format_strings)
1875017/1768405    1.686    0.000    2.021    0.000 {built-in method numpy.asarray}
     4563    0.109    0.000    2.020    0.000 format.py:1418(get_result_as_array)
   117266    0.359    0.000    2.017    0.000 algorithms.py:102(_ensure_data)
  1700045    2.017    0.000    2.017    0.000 {built-in method numpy.empty}
    19434    0.136    0.000    2.011    0.000 blocks.py:430(fillna)
    27175    0.098    0.000    2.006    0.000 series.py:1216(_maybe_update_cacher)
    13029    0.040    0.000    2.005    0.000 datetimes.py:787(tz_convert)
    59524    0.165    0.000    1.996    0.000 cast.py:114(maybe_convert_platform)
   108926    0.141    0.000    1.977    0.000 {built-in method pandas._libs.tslibs.timezones.maybe_get_tz}
    32019    0.048    0.000    1.951    0.000 genericpath.py:16(exists)
     6478    0.035    0.000    1.949    0.000 base.py:1108(__repr__)
     6478    0.079    0.000    1.946    0.000 datetimes.py:396(union_many)
    15680    0.214    0.000    1.937    0.000 url.py:330(parse_url)
     7840    0.147    0.000    1.935    0.000 response.py:580(from_httplib)
    24737    0.157    0.000    1.935    0.000 indexing.py:813(_getitem_lowerdim)
    70716    0.178    0.000    1.925    0.000 construction.py:447(<listcomp>)
     6478    0.018    0.000    1.921    0.000 grouper.py:831(is_in_obj)
    34352    0.127    0.000    1.919    0.000 blocks.py:572(astype)
   107381    0.106    0.000    1.893    0.000 common.py:564(is_excluded_dtype)
     7840    0.015    0.000    1.893    0.000 request.py:2699(getproxies)
   881446    0.760    0.000    1.873    0.000 common.py:1744(pandas_dtype)
    12968    0.009    0.000    1.870    0.000 extension.py:71(cached)
  3505747    1.283    0.000    1.867    0.000 inference.py:321(is_hashable)
    25985    0.050    0.000    1.866    0.000 __init__.py:130(timezone)
