,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Security Code
459,"Wendt (India) Ltd.,",WENDT,Wendt (India) Ltd.,Active,B ,10,INE274C01019,Industrial Machinery,Equity,505412
460,Sindu Valley Technologies Ltd.,SINDUVA,Sindu Valley Technologies Ltd.,Active,P ,10,-,IT Consulting & Software,Equity,505504
461,Responsive Industries Ltd,RESPONIND,Responsive Industries Ltd.,Active,A ,1,INE688D01026,Furniture-Furnishing-Paints,Equity,505509
462,"Shyamkamal Investments Ltd.,",SHYMINV,Shyamkamal Investments Ltd.,Active,XT,10,INE203N01015,Other Financial Services,Equity,505515
463,"HEM Holdings and Trading Ltd.,",ZHEMHOLD,Hem Holdings & Trading Ltd.,Active,Y ,10,NA          ,Misc.Commercial Services,Equity,505520
464,Maharashtra Corporation Ltd.,MAHACORP,Maharashtra Corporation Ltd.,Active,X ,1,INE272E01027,Comm.Trading  & Distribution,Equity,505523
465,"Dolat Investments Ltd.,",DOLAT,Dolat Investments Ltd.,Active,B ,1,INE966A01022,Other Financial Services,Equity,505526
466,Westlife Development Ltd,WESTLIFE,Westlife Development Ltd.,Active,A ,2,INE274F01020,Restaurants,Equity,505533
467,Zee Entertainment Enterprises Ltd.,ZEEL,Zee Entertainment Enterprises Ltd.,Active,A ,1,INE256A01028,Broadcasting & Cable TV,Equity,505537
468,Goldcrest Corporation Limited,GOLDCORP,Goldcrest Corporation Limited,Active,X ,10,INE505D01014,Finance (including NBFCs),Equity,505576
469,"Kovalam Inv. & Trading Co.Ltd.,",ZKOVALIN,Kovalam Investment & Trading Co.Ltd.,Active,XT,10,INE735U01011,Misc.Commercial Services,Equity,505585
470,SVP Global Ventures Limited,SVPGLOB,Svp Global Ventures Ltd.,Active,B ,1,INE308E01029,Textiles,Equity,505590
471,"Multiplus Holdings Ltd.,",MULTIIN,Multiplus Holdings Ltd.,Active,XT,10,INE886E01016,Misc.Commercial Services,Equity,505594
472,Skyline Millars Ltd,SKYLMILAR,Skyline Millars Ltd.,Active,XT,1,INE178E01026,Commercial Vehicles,Equity,505650
473,Bimetal Bearings Ltd,BIMETAL,Bimetal Bearings Ltd.-$,Active,X ,10,INE469A01019,Auto Parts & Equipment,Equity,505681
474,"Taparia Tools Ltd.,",TAPARIA,Taparia Tools Ltd.,Active,XT,10,INE614R01014,Iron & Steel Products,Equity,505685
475,"Bharat Gears Ltd.,",BHARATGEAR,Bharat Gears Ltd.,Active,B ,10,INE561C01019,Auto Parts & Equipment,Equity,505688
476,Brady & Morris Engineering Co. Ltd.,BRADYM,Brady & Morris Engineering Co.Ltd.,Active,X ,10,INE856A01017,Commercial Vehicles,Equity,505690
477,La Tim Metal & Industries Limited,LATIMMETAL,La Tim Metal & Industries Ltd,Active,X ,10,INE501N01012,Other Industrial Goods,Equity,505693
